issueNumber,number,color,premium,sum,big_small
20260714100010255,5,"green,violet",5,0,Big
20260714100010254,2,red,2,0,Small
20260714100010253,5,"green,violet",5,0,Big
20260714100010252,4,red,4,0,Small
20260714100010251,9,green,9,0,Big
20260714100010250,9,green,9,0,Big
20260714100010249,7,green,7,0,Big
20260714100010248,1,green,1,0,Small
20260714100010247,1,green,1,0,Small
20260714100010246,0,"red,violet",0,0,Small
20260714100010255,5,"green,violet",5,0,Big
20260714100010254,2,red,2,0,Small
20260714100010253,5,"green,violet",5,0,Big
20260714100010252,4,red,4,0,Small
20260714100010251,9,green,9,0,Big
20260714100010250,9,green,9,0,Big
20260714100010249,7,green,7,0,Big
20260714100010248,1,green,1,0,Small
20260714100010247,1,green,1,0,Small
20260714100010246,0,"red,violet",0,0,Small
20260714100010255,5,"green,violet",5,0,Big
20260714100010254,2,red,2,0,Small
20260714100010253,5,"green,violet",5,0,Big
20260714100010252,4,red,4,0,Small
20260714100010251,9,green,9,0,Big
20260714100010250,9,green,9,0,Big
20260714100010249,7,green,7,0,Big
20260714100010248,1,green,1,0,Small
20260714100010247,1,green,1,0,Small
20260714100010246,0,"red,violet",0,0,Small
20260714100010255,5,"green,violet",5,0,Big
20260714100010254,2,red,2,0,Small
20260714100010253,5,"green,violet",5,0,Big
20260714100010252,4,red,4,0,Small
20260714100010251,9,green,9,0,Big
20260714100010250,9,green,9,0,Big
20260714100010249,7,green,7,0,Big
20260714100010248,1,green,1,0,Small
20260714100010247,1,green,1,0,Small
20260714100010246,0,"red,violet",0,0,Small
20260714100010255,5,"green,violet",5,0,Big
20260714100010254,2,red,2,0,Small
20260714100010253,5,"green,violet",5,0,Big
20260714100010252,4,red,4,0,Small
20260714100010251,9,green,9,0,Big
20260714100010250,9,green,9,0,Big
20260714100010249,7,green,7,0,Big
20260714100010248,1,green,1,0,Small
20260714100010247,1,green,1,0,Small
20260714100010246,0,"red,violet",0,0,Small
20260714100010255,5,"green,violet",5,0,Big
20260714100010254,2,red,2,0,Small
20260714100010253,5,"green,violet",5,0,Big
20260714100010252,4,red,4,0,Small
20260714100010251,9,green,9,0,Big
20260714100010250,9,green,9,0,Big
20260714100010249,7,green,7,0,Big
20260714100010248,1,green,1,0,Small
20260714100010247,1,green,1,0,Small
20260714100010246,0,"red,violet",0,0,Small
20260714100010255,5,"green,violet",5,0,Big
20260714100010254,2,red,2,0,Small
20260714100010253,5,"green,violet",5,0,Big
20260714100010252,4,red,4,0,Small
20260714100010251,9,green,9,0,Big
20260714100010250,9,green,9,0,Big
20260714100010249,7,green,7,0,Big
20260714100010248,1,green,1,0,Small
20260714100010247,1,green,1,0,Small
20260714100010246,0,"red,violet",0,0,Small
20260714100010255,5,"green,violet",5,0,Big
20260714100010254,2,red,2,0,Small
20260714100010253,5,"green,violet",5,0,Big
20260714100010252,4,red,4,0,Small
20260714100010251,9,green,9,0,Big
20260714100010250,9,green,9,0,Big
20260714100010249,7,green,7,0,Big
20260714100010248,1,green,1,0,Small
20260714100010247,1,green,1,0,Small
20260714100010246,0,"red,violet",0,0,Small
20260714100010255,5,"green,violet",5,0,Big
20260714100010254,2,red,2,0,Small
20260714100010253,5,"green,violet",5,0,Big
20260714100010252,4,red,4,0,Small
20260714100010251,9,green,9,0,Big
20260714100010250,9,green,9,0,Big
20260714100010249,7,green,7,0,Big
20260714100010248,1,green,1,0,Small
20260714100010247,1,green,1,0,Small
20260714100010246,0,"red,violet",0,0,Small
