issueNumber,number,color,premium,sum,big_small
20260714100050509,4,red,4,0,Small
20260714100050508,5,"green,violet",5,0,Big
20260714100050507,7,green,7,0,Big
20260714100050506,3,green,3,0,Small
20260714100050505,7,green,7,0,Big
20260714100050504,2,red,2,0,Small
20260714100050503,5,"green,violet",5,0,Big
20260714100050502,7,green,7,0,Big
20260714100050501,6,red,6,0,Big
20260714100050500,5,"green,violet",5,0,Big
20260714100050509,4,red,4,0,Small
20260714100050508,5,"green,violet",5,0,Big
20260714100050507,7,green,7,0,Big
20260714100050506,3,green,3,0,Small
20260714100050505,7,green,7,0,Big
20260714100050504,2,red,2,0,Small
20260714100050503,5,"green,violet",5,0,Big
20260714100050502,7,green,7,0,Big
20260714100050501,6,red,6,0,Big
20260714100050500,5,"green,violet",5,0,Big
20260714100050509,4,red,4,0,Small
20260714100050508,5,"green,violet",5,0,Big
20260714100050507,7,green,7,0,Big
20260714100050506,3,green,3,0,Small
20260714100050505,7,green,7,0,Big
20260714100050504,2,red,2,0,Small
20260714100050503,5,"green,violet",5,0,Big
20260714100050502,7,green,7,0,Big
20260714100050501,6,red,6,0,Big
20260714100050500,5,"green,violet",5,0,Big
20260714100050509,4,red,4,0,Small
20260714100050508,5,"green,violet",5,0,Big
20260714100050507,7,green,7,0,Big
20260714100050506,3,green,3,0,Small
20260714100050505,7,green,7,0,Big
20260714100050504,2,red,2,0,Small
